8566	3279
8344	8799
7184	8373
7301	3015
2860	17
8492	935
2828	1310
2578	3419
1268	889
8799	2855
8419	8713
1297	2691
2780	1417
2629	890
6735	1977
3600	6323
6786	6370
1395	3809
3606	4078
76	3819
6154	4243
3189	6567
4239	4717
5883	2056
4092	6445
4345	4461
4114	3899
4509	3784
1416	3458
2335	4194
4268	517
200	6062
189	713
82	580
194	678
5639	834
806	4507
608	374
373	811
760	649
396	685
699	811
198	191
563	87
176	4634
7669	1687
31	7751
7566	5426
1034	7988
448	8205
6389	1304
7985	2097
1247	1421
7659	8228
1447	1158
7651	1845
1059	1263
7699	8247
6294	4519
8126	7823
