2946	37844,6290,6290
2946	7338,7338,7338
1370	4696,5610,4349
434	3095,3095,3095
26898	1057,1057,1057
8600	34072,34072,34072
339	4544,4544,2784
6378	4851,4851,4200
1103	8460,7305,3145
26485	916,916,916
5881	766,766,766
5881	2827,2827,2827
448	7314,33669,33669
994	1081,1081,1081
3977	2643,2643,2643
3977	39449,39449,39449
6373	3439,3439,3439
3052	4218,4218,1339
50068	7091,7091,7091
25865	161,161,161
3578	52885,52885,52885
6947	32361,32649,32649
969	2881,2881,2881
2734	5358,5358,5358
36537	8295,8295,3267
2329	56003,56003,56003
5444	1456,592,592
5444	3652,3652,3652
7937	60037,60037,60037
45208	3801,3801,3801
7215	1593,1593,27869
1284	30952,2447,2447
48780	55955,4515,4515
2651	1162,1162,1162
51931	44199,44199,44199
51931	26111,26111,26111
7163	5873,5873,5873
7163	3079,3079,3079
194	4176,4176,8010
35836	26472,26472,26472
4743	3741,3741,3741
35	4980,4980,4980
32456	7374,7374,7374
32456	3097,3097,3097
1116	26258,26258,26258
1283	1893,7449,7449
3081	25763,25763,25763
3476	235,235,235
7373	26465,4153,4153
44191	263,263,263
3006	1805,1805,1805
3386	2871,2871,2871
60363	46337,6681,6681
50003	34538,34538,34538
2571	6077,6077,6077
53996	25893,1198,1198
55999	7613,54881,54881
5296	6535,6535,4649
4967	4835,4835,4835
2710	2268,2268,2268
1089	3121,3121,4519
2691	3543,3543,3543
3681	63859,7355,5184
2951	33138,33138,33138
5710	1388,1388,1388
5720	2757,2757,2757
3115	4124,4124,4124
5954	8783,8783,8783
3752	3077,3077,3077
3752	4199,26704,26704
2940	4607,3427,39869
5954	31522,31522,31522
1393	5130,5130,5708
1393	3590,2472,25923
8157	1643,1643,3365
8157	45928,45928,45928
265	3324,3324,5055
265	3211,1404,7815
2934	3998,3998,41831
40815	3339,6731,6731
37477	8933,8933,376
37477	42736,4725,4725
5321	27491,27491,26791
40815	4831,4831,7128
4190	4771,4771,4771
1694	8960,2109,2109
2005	4029,4029,4029
2005	104,104,104
30793	59910,59910,59910
1073	951,951,951
4958	55278,7580,5060
1784	4012,3734,3734
1176	7761,4796,4796
1176	7178,7178,5461
2788	4106,8143,8143
2788	2602,2602,48879
48516	44828,44828,44828
3825	2937,2937,2937
26599	59290,5345,2801
39183	5954,5954,5954
3535	3208,3208,3208
3535	2858,2858,2858
45081	3439,3439,3439
6942	420,420,420
51927	5040,5040,5040
6967	8119,8119,8119
4262	1007,1007,4086
37380	5321,5321,5321
1282	6245,6245,6245
1282	1046,1046,2613
5643	946,946,946
54286	6646,6646,6646
4878	30659,6358,2652
33171	417,4605,4605
1304	60943,60943,60943
3100	852,852,852
3882	8601,8601,8601
524	50658,50658,50658
5872	6503,6503,6503
5872	2248,2248,2248
506	3350,3350,3350
506	3552,3552,3552
6377	48997,48997,48997
6377	3892,3892,8657
54259	5213,239,239
54259	26903,26903,26903
7573	2952,2952,2952
7573	56028,2931,2931
924	4558,4558,4558
6184	719,719,719
5995	8884,8884,8884
1225	52952,52952,52952
2858	6990,6990,6990
2858	3994,3994,3994
4848	6946,2627,7158
5902	6966,6966,6966
546	3684,3684,3684
546	4277,1995,1995
920	5796,5796,5796
920	34164,34164,34164
151	2985,2985,2985
778	5054,5054,5054
4678	25971,50804,50804
2420	719,719,719
1500	3863,3863,3863
40959	587,587,587
8602	56367,56367,56367
33154	10,10,10
25762	42738,42738,42738
25755	3198,3198,3198
1388	8228,8228,8228
1389	4062,4062,4062
4789	27608,27608,27608
4975	25866,25866,25866
45672	45,45,45
34148	4200,2797,2797
858	26681,733,733
2805	27841,8526,8526
3044	5244,5244,5244
198	4489,4489,4489
2302	60484,1785,1785
34540	25850,25850,25850
1199	3747,3747,2356
33004	33592,33592,36056
4448	4028,6402,4168
2551	899,899,899
2302	6247,6247,6247
1722	4479,4479,4479
63647	4363,4363,4363
8815	35,35,35
2318	7833,7833,54732
64839	1392,1392,1392
38798	2681,2681,2681
47644	44197,44197,44197
7307	7456,7441,4001
112	39381,39381,39381
1345	3719,3719,3719
3468	3880,27905,455
44301	56805,56805,56805
5134	4178,4178,4178
3697	4827,2572,2572
5543	6558,6558,6060
2731	25993,25993,36527
1997	31685,31685,31685
1208	3437,3437,6875
4047	2069,8795,27685
6874	8607,8607,8607
6874	1947,1947,1947
3510	2120,2120,2120
51925	50842,50842,50842
8623	7294,7294,7294
8623	6668,6668,6668
57669	6294,6294,6294
57669	6785,6785,6785
43419	3166,26136,6094
43419	4729,4729,4729
670	5884,2905,2905
668	46337,666,2149
8362	6047,4805,4805
58972	26791,26791,26791
