8566	347,5298,1690
8344	6370,564,2426
7184	3202,5653,7787
7301	4323,5542,7758
2860	1783,360,1653
8492	1362,5551,7725
2828	1370,3576,7539
2578	7039,5623,820
1268	3905,4993,8258
8799	4319,5276,7966
8419	6111,811,7651
1297	4220,198,3415
2780	6598,4268,7929
2629	5880,5720,1882
6735	1139,445,1769
3600	9181,91,5420
6786	9758,5534,7602
1395	1148,4659,1923
3606	3526,249,8233
76	2490,541,7653
6154	9389,538,8300
3189	2776,760,8266
4239	8941,4569,985
5883	1273,836,7566
4092	2866,192,1492
4345	3412,5720,2095
4114	15,189,6333
4509	1349,396,7826
1416	2937,5433,7614
2335	8941,5802,7575
4268	1820,3718,8101
200	9143,2843,4669
189	9068,4411,7667
82	3237,1046,2342
194	1357,6617,1742
5639	2562,6508,7834
806	2425,5767,6217
608	7111,3788,1769
373	2691,3574,7985
760	8496,6075,8055
396	1307,3548,7465
699	1776,3812,498
198	9328,2248,1469
563	2697,6436,938
176	2749,3887,1492
7669	1042,6224,5600
31	2718,6422,2226
7566	3397,6025,2293
1034	3262,6871,5422
448	7227,3346,4837
6389	889,5807,368
7985	2527,6349,544
1247	3287,6075,4828
7659	7167,6627,194
1447	2606,1601,6084
7651	9839,2447,5101
1059	8716,1277,22
7699	1910,6880,5195
6294	8430,9857,5611
8126	3141,9188,545
