25854	27097
25854	25770
25854	27097
22157	21030
22157	21030
21030	22157
31555	27556
31555	27556
27556	31555
30422	27271
31050	31523
30415	28655
27462	28138
29944	29764
27360	27549
31101	28646
28646	31101
28646	31101
28427	25538
29322	25538
29322	28427
31079	30425
30479	28677
29297	31079
28659	30434
24779	28406
28406	30434
31741	26971
31741	28644
31741	29156
22924	29744
21733	27263
31537	31080
27421	24089
27346	23939
31734	27429
22486	27792
27520	27835
27835	20528
21337	20764
27648	24789
27502	20729
28582	23715
20704	27287
20704	20538
24714	27538
24544	27538
24544	27538
31561	31534
27878	31566
24793	31567
21123	27586
22630	28230
20369	22171
19763	22681
27619	19763
29921	22380
21410	27729
28479	28247
27894	28787
21271	20130
28857	20130
28857	20130
24368	30770
30770	24368
30770	24368
28921	28713
29924	30962
22663	31410
31427	31413
30293	20351
30680	30991
30619	28266
27035	27115
28462	28461
30784	29007
27472	22222
29006	30661
22485	22523
22051	21871
22523	31334
20816	20578
20578	20816
30620	20578
27161	31553
30782	30817
27151	27121
30985	29786
27960	31702
28675	29771
28388	24784
30499	29003
27194	30226
28448	28445
20354	28802
31082	20345
28494	28052
31612	27170
28052	28595
27141	27045
28691	27045
27141	30863
30529	30609
30529	30609
30609	30529
25243	27940
31470	29005
28933	31440
28778	31215
30908	31165
31477	31382
28539	31107
28178	24984
27325	30960
28658	20582
30893	19803
23461	28658
31575	28738
28786	28733
31581	28786
24038	29674
26187	24511
29674	24052
21616	19321
23267	22321
26909	19908
22525	29108
26032	23388
28309	26085
23570	21356
24842	21866
21135	23378
25684	22371
23614	29607
21597	26768
21122	21675
21851	19883
24841	21845
27936	27010
21976	24356
19263	24344
27934	31389
31001	31389
29799	27961
19258	25000
28170	31285
25391	21497
30643	31133
20679	27966
27924	31133
28105	28442
28054	21291
24567	28105
20218	21955
24953	25269
25352	25703
20865	24845
19408	25312
20982	21485
19665	22634
21419	23612
21117	21837
21009	28175
28175	21009
28175	21009
29846	22438
22438	29846
29846	22438
20513	23815
21074	20513
28963	21074
27879	28234
28234	23732
28234	27879
23821	31291
29390	28156
20676	29414
19621	20545
24675	21502
24731	23424
21679	22541
21679	21700
21700	21679
23738	22526
22526	23738
22963	22623
28067	21848
21848	27329
28067	24550
23566	23009
21839	23009
21839	23566
30724	28478
30724	28478
30724	28478
20990	21380
21088	21821
21750	20990
28775	24744
23731	21794
21911	24695
19656	22919
28236	23403
22381	23422
