1793	3501
2542	2902
8610	8716
2612	5530
3506	2945
9250	8559
8392	8635
2586	9668
3271	8716
1961	8391
2457	2782
1642	2727
2512	2552
3404	922
8397	2633
8818	2702
1244	8089
1281	8407
452	8430
963	8370
9771	9012
907	2948
3371	3262
2590	2837
2718	9143
3744	1362
7008	1380
1182	6400
5849	2646
6436	6779
3857	5939
6406	6397
3600	5835
1182	3955
7340	3986
6445	3796
3824	1277
4103	5954
2248	4057
6025	2207
6094	1395
6445	6508
3752	8477
6850	6087
6558	5985
4011	6154
6804	3994
3881	6567
3844	6154
4227	4006
5281	377
657	340
4431	621
777	103
5249	4828
4406	10017
4904	753
4970	5671
3895	569
5626	5311
7300	4968
4507	4659
471	563
621	5264
7297	111
1123	725
280	5628
5498	445
569	5364
357	5285
811	22
5151	2943
5551	387
471	5283
5626	388
1724	896
6609	7725
1447	1168
1802	1082
820	7510
629	7912
10153	7652
2097	7957
8273	2234
1239	7950
7513	1657
7439	7825
8126	1171
2017	7465
7547	820
1421	3677
6206	5420
2135	7578
1438	7672
1497	8010
2049	7437
5426	1769
7680	1492
7454	1612
7929	7684
