25854	31218,24948,25072
25854	26561,25381,29340
25854	21928,25537,19751
22157	29884,26142,31681
22157	20114,29693,25922
21030	21365,28373,24747
31555	30349,22184,30864
31555	27145,26753,27270
27556	29310,26617,28569
30422	22216,20496,22721
31050	28968,30354,28667
30415	22766,28664,20278
27462	21050,22241,30713
29944	23168,19485,31436
27360	19830,25020,26568
31101	28615,19826,28229
28646	26828,31561,24018
28646	26696,23604,26115
28427	19261,24714,30096
29322	20726,24559,22790
29322	23122,24322,23398
31079	29961,30277,20327
30479	23166,25934,28311
29297	29031,28062,27574
28659	21714,30708,30213
24779	24598,31449,31218
28406	29930,24354,28337
31741	20272,21340,20618
31741	25402,24974,23963
31741	30205,29510,28797
22924	27761,30436,25068
21733	27666,25267,21653
31537	21928,26167,26005
27421	20784,20752,19762
27346	21557,20345,28911
31734	29509,29406,23631
22486	30118,26763,21471
27520	26632,19482,28684
27835	24352,22653,22052
21337	29769,29671,29902
27648	22382,25151,25723
27502	22310,27939,20218
28582	31072,22546,21792
20704	21018,22312,28557
20704	21878,28179,25997
24714	31328,23485,22138
24544	30075,31414,26117
24544	30599,25639,24925
31561	31728,30938,23941
27878	29701,23892,22690
24793	29472,19819,21558
21123	28180,24410,20817
22630	28395,27729,23061
20369	26866,24333,28876
19763	27968,24567,26420
27619	30258,23607,23941
29921	29245,28248,29010
21410	23491,25880,22191
28479	22131,21554,24770
27894	24798,25559,21344
21271	21558,23440,25207
28857	24792,25505,28203
28857	22163,22280,22821
24368	20267,31155,27313
30770	25600,28198,23768
30770	30694,28034,26787
28921	28088,24263,19599
29924	24623,20439,21567
22663	21515,25849,19899
31427	25068,24770,25875
30293	19595,31362,28439
30680	21842,20154,24901
30619	21595,20693,28594
27035	24591,19550,25198
28462	23913,30068,23862
30784	26944,22489,29786
27472	31138,30026,20557
29006	27398,21010,25497
22485	30494,30906,21127
22051	31092,23258,21800
22523	25626,20564,21359
20816	26682,21697,21194
20578	29972,23773,19851
30620	20766,25513,21376
27161	24355,21837,20605
30782	24172,28848,26280
27151	23347,29489,28379
30985	21310,27636,27903
27960	22785,22757,21946
28675	29111,23850,29863
28388	31195,22264,25379
30499	24333,20964,31354
27194	24083,26809,23991
28448	31495,20886,29321
20354	22455,24093,23767
31082	28140,25700,24133
28494	21629,30508,25904
31612	27036,22525,30183
28052	24356,28916,23269
27141	21304,27232,23559
28691	31181,19612,28609
27141	20379,21809,27758
30529	27426,25467,31471
30529	21837,26807,28769
30609	25475,20956,19796
25243	30444,24719,24053
31470	24499,31651,20753
28933	24499,28405,23099
28778	24813,27262,28062
30908	27527,27703,24279
31477	26819,27166,24263
28539	31395,21439,21291
28178	25947,20436,28948
27325	20415,27869,19904
28658	19259,31272,25862
30893	29527,25685,23897
23461	21896,24127,28469
31575	25188,26863,30457
28786	22548,20304,26749
31581	22633,24914,19818
24038	20895,21193,22460
26187	26364,22864,25815
29674	25724,28824,25283
21616	30434,22599,30193
23267	20805,27523,24110
26909	28927,26050,22882
22525	30881,28124,23538
26032	27241,25397,27337
28309	29067,25270,23577
23570	29944,28437,22109
24842	24961,27095,30652
21135	31686,22676,25167
25684	19682,21587,30120
23614	25594,23738,27953
21597	29217,27501,20010
21122	31523,25659,20990
21851	19936,28659,30298
24841	29695,23489,27610
27936	30098,26237,24625
21976	23577,19935,22560
19263	30377,22641,24810
27934	29649,22570,26765
31001	26901,30892,29743
29799	29249,29604,20572
19258	21385,19561,20346
28170	24922,29620,19313
25391	30732,23048,23445
30643	29166,20428,26406
20679	19599,25202,28784
27924	20623,26224,24959
28105	23949,26126,23098
28054	21876,23300,27342
24567	21302,29333,21383
20218	30918,21839,24555
24953	21647,28870,30024
25352	23629,26700,28266
20865	21090,19321,30848
19408	25071,21798,21835
20982	23215,20684,22169
19665	28047,31082,22902
21419	20898,20646,30585
21117	24875,23278,28719
21009	24791,23064,29529
28175	25089,31421,23125
28175	24508,28619,23831
29846	24266,22021,31510
22438	23433,27860,25554
29846	25637,25140,20289
20513	30252,19375,22395
21074	28457,21835,23818
28963	29485,24064,26169
27879	23017,22324,26361
28234	26924,20811,22571
28234	24775,25959,19348
23821	28239,21604,31251
29390	30989,28371,27544
20676	19554,30230,31154
19621	22468,27787,20676
24675	29302,24168,26737
24731	23600,26835,22980
21679	19861,24414,19359
21679	24870,25986,28974
21700	29557,21610,28471
23738	29922,31312,22486
22526	24154,22154,26199
22963	22995,25539,19963
28067	22850,29785,25871
21848	21468,26161,23166
28067	21395,21413,31689
23566	20615,26476,19595
21839	19255,27228,24535
21839	29921,25185,22994
30724	27082,24928,21181
30724	20775,26342,25939
30724	19969,21505,26478
20990	31668,29961,22757
21088	25879,25769,22908
21750	19926,26036,27705
28775	25026,23173,19365
23731	19468,27008,25782
21911	30234,27085,24134
19656	22913,25108,23526
28236	30252,24788,29938
22381	30443,24205,20115
